,,PROJECTS,,
,,OUTDOORS – INCOME – HOUSE – PEOPLE – FANTASY – THINGS – SELF – HEALTH -,,
SPECIFIC,,d delayed   NS not started    S started   O ongoing     D done,,
,,_____________________________________________________________________,Type,Due by
NS,,SELF – Programme / framework for growth / dark issues – see journal 2020-04-24,Large,30 April ‘20
,,,,
,,,,
 ,,,,
d,,OUTDOORS – Circuit of Lough Derg by hybrid,Medium,
d,,OUTDOORS – Howling Ridge – skills training and do it,,
O,,HOUSE – Refurbish utility ,,14/05/20
,,,,
,,,,
O,,HOUSE – grow lettuce,Small,01/06/20
,,,,
,,__________________________________________________________________,,
NON-SPECIFIC,,*** This should be a very long list ***,,
,,,,
,,Part 1:  Manage & organise around how to  - mentally and really,,
,,Part 2: Do stuff / meet / interact with people / organisations,,
,,Buy an island and live on it,,
,,7m long standing at roadway entrance,,
,,One night+  wild camping,,
,,Fishing – Go out and catch something...,,
,,Find if there is a vim-like for spreadsheets – probably not,,
,,Learn vim better,,
