a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
acpi 1.7-2
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.2-1
alsa-oss 1.1.8-3
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
android-tools 29.0.6-1
android-udev 20200410-1
aom 1.0.0.errata1+avif-1
apparmor 2.13.4-1
appstream 0.12.10-2
appstream-glib 0.7.17-1
appstream-qt 0.12.10-2
apr 1.7.0-2
apr-util 1.6.1-6
archlinux-appstream-data 20200315-1.1
archlinux-keyring 20200422-1
argon2 20190702-2
aribb24 1.0.3-2
ark 20.04.0-1
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-1
attica 5.69.0-1
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-7
autokey 0.95.10-1
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
babl 0.1.74-1
baloo 5.69.0-1
baloo-widgets 20.04.0-1
bash 5.0.016-1
bash-completion 2.10-1
bashrc-manjaro 5.0.016-1
bauh 0.9.0-1
bc 1.07.1-4
bind-tools 9.16.2-1
binutils 2.34-2.1
bison 3.5.4-1
blas 3.9.0-2
bluedevil 1:5.18.4.1-1
bluez 5.54-1
bluez-libs 5.54-1
bluez-qt 5.69.0-1
boost-libs 1.72.0-1
bpython 0.18-3
breath-icon-theme 0.4.0-3
breath2-icon-themes 1.0.8-1
breath2-wallpaper 1.0.8-1
breeze 5.18.4.1-1
breeze-icons 5.69.0-1
bridge-utils 1.6-4
brotli 1.0.7-3
btrfs-progs 5.6-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.51.1-1
ca-certificates-utils 20181109-3
caffeine-ng 3.4.2-2.3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
cdparanoia 10.2-7
celt 0.11.3-3
cfitsio 1:3.47-1
chromaprint 1.4.3-2
chromium 81.0.4044.122-1
cifs-utils 6.10-1
ckbcomp 1.194-1
clipman 1.4.0-1
clucene 2.3.3.4-10
cmark-gfm 0.29.0.gfm.0-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
containerd 1.3.4-2
convertlit 1.8-8
coreutils 8.32-1
cpupower 5.6-1
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.0-1.1
cups 2.3.1-1
cups-filters 1.27.4-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.69.1-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
ddgr 1.7-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-1
dhclient 4.4.2-2
dhcpcd 9.0.2-1
diffutils 3.7-3
ding-libs 0.6.1-3
discount 2.2.6-1
djvulibre 3.5.27-5
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-3
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
docker 1:19.03.8-2
dolphin 20.04.0-1
dolphin-plugins 20.04.0-1
dosfstools 4.1-3
double-conversion 3.1.5-1
e2fsprogs 1.45.6-1
ebook-tools 0.2.2-6
ecryptfs-utils 111-3
editorconfig-core-c 0.12.3-1
efibootmgr 17-1
efivar 37-3
electron 8.2.3-1
elfutils 0.178-2
enchant 2.2.8-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
exo 0.12.11-1
expat 2.2.9-3
f2fs-tools 1.13.0-1
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
fd 8.0.0-1
feh 3.4-1
ffmpeg 1:4.2.2-6
ffmpegthumbs 20.04.0-1
fftw 3.3.8-2
file 5.38-3
filelight 20.04.0-1
filesystem 2019.10-4
findutils 4.7.0-2
firefox 75.0-1
flac 1.3.3-1
flashrom 1.2-1
flatpak 1.7.2-1
flex 2.6.4-3
fluidsynth 2.1.2-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:20200206-1
frameworkintegration 5.69.0-1
freeglut 3.2.1-1
freetype2 2.10.1-2
fribidi 1.0.9-1
fuse-common 3.9.1-1
fuse2 2.9.9-3
fuse3 3.9.1-1
fwupd 1.4.0-1
game-devices-udev 0.5-1
garcon 0.6.4-1
gawk 5.1.0-1
gc 8.0.4-3
gcab 1.4-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gegl 0.4.22-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.20.2-1
ghc-libs 8.8.3-2
ghostscript 9.52-1
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.18-5
git 2.26.2-1
glew 2.1.0-1
glib-networking 2.64.2-1
glib2 2.64.2-1
glibc 2.31-2
glibmm 2.64.2-1
glslang 8.13.3559-1
glu 9.0.1-1
gmp 6.2.0-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-themes-extra 3.28-1
gnupg 2.2.20-1
gnustep-base 1.26.0-4
gnutls 3.6.13-1
go 2:1.14.2-1
gobject-introspection-runtime 1.64.1-2
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
grantlee 5.2.0-2
graphene 1.10.0-1
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2.04-10
grub-theme-manjaro 18.1-1
gsettings-desktop-schemas 3.36.0-1
gsfonts 20180524-2
gsm 1.0.19-1
gssdp 1.2.2-1
gssproxy 0.8.3-1
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-7
gst-plugins-bad-libs 1.16.2-7
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-3
gstreamer 1.16.2-1
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 1:3.24.18-1
gtk2 2.24.32-2
gtk3 1:3.24.18-1
gtkmm3 3.24.2-1
gtksourceview3 3.24.11-1
guile 2.2.6-2
gupnp 1.2.2-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.44.1-1
gvfs-afc 1.44.1-1
gvfs-gphoto2 1.44.1-1
gvfs-mtp 1.44.1-1
gvfs-nfs 1.44.1-1
gvfs-smb 1.44.1-1
gvim 8.2.0510-1
gwenview 20.04.0-1
gzip 1.10-3
harfbuzz 2.6.5-1
harfbuzz-icu 2.6.5-1
haskell-aeson 1.4.7.1-6
haskell-aeson-pretty 0.8.8-35
haskell-ansi-terminal 0.10.3-16
haskell-asn1-encoding 0.9.6-24
haskell-asn1-parse 0.9.5-24
haskell-asn1-types 0.3.4-3
haskell-async 2.2.2-6
haskell-attoparsec 0.13.2.4-2
haskell-base-compat 0.11.1-4
haskell-base-compat-batteries 0.11.1-24
haskell-base-noprelude 4.13.0.0-1
haskell-base-orphans 0.8.2-26
haskell-base16-bytestring 0.1.1.6-17
haskell-base64-bytestring 1.0.0.3-13
haskell-basement 0.0.11-4
haskell-bitarray 0.0.1.1-15
haskell-blaze-builder 0.4.1.0-11
haskell-blaze-html 0.9.1.2-23
haskell-blaze-markup 0.8.2.5-1
haskell-byteable 0.1.1-17
haskell-case-insensitive 1.2.1.0-6
haskell-cereal 0.5.8.1-4
haskell-cmark-gfm 0.2.1-19
haskell-cmdargs 0.10.20-11
haskell-colour 2.3.5-40
haskell-connection 0.3.1-29
haskell-cookie 0.4.5-4
haskell-cryptonite 0.26-35
haskell-data-default 0.7.1.1-53
haskell-data-default-class 0.1.2.0-16
haskell-data-default-instances-containers 0.0.1-28
haskell-data-default-instances-dlist 0.0.1-66
haskell-data-default-instances-old-locale 0.0.1-28
haskell-digest 0.0.1.2-17
haskell-dlist 0.8.0.8-1
haskell-doclayout 0.3-8
haskell-doctemplates 0.8.2-1
haskell-emojis 0.1-14
haskell-erf 2.0.0.0-16
haskell-errors 2.3.0-52
haskell-exceptions 0.10.4-24
haskell-glob 0.10.0-39
haskell-haddock-library 1.8.0-51
haskell-hashable 1.3.0.0-2
haskell-hourglass 0.2.12-49
haskell-hslua 1.1.0-2
haskell-hslua-module-system 0.2.1-35
haskell-hslua-module-text 0.2.1-44
haskell-hsyaml 0.2.1.0-19
haskell-http 4000.3.14-170
haskell-http-client 0.6.4.1-39
haskell-http-client-tls 0.3.5.3-221
haskell-http-types 0.12.3-52
haskell-hxt 9.3.1.18-63
haskell-hxt-charproperties 9.4.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.3-20
haskell-hxt-unicode 9.0.2.4-16
haskell-integer-logarithms 1.0.3-5
haskell-ipynb 0.1-172
haskell-jira-wiki-markup 1.1.4-3
haskell-juicypixels 3.3.5-3
haskell-memory 0.15.0-15
haskell-mime-types 0.1.0.9-6
haskell-network 3.1.1.1-6
haskell-network-uri 2.6.3.0-66
haskell-old-locale 1.0.0.7-22
haskell-old-time 1.1.0.3-22
haskell-pandoc-types 1.20-31
haskell-pem 0.2.4-80
haskell-primitive 0.7.0.1-1
haskell-quickcheck 2.14-5
haskell-random 1.1-20
haskell-regex-base 0.94.0.0-3
haskell-regex-pcre 0.95.0.0-3
haskell-safe 0.3.18-4
haskell-scientific 0.3.6.2-19
haskell-sha 1.6.4.4-11
haskell-skylighting 0.8.3.4-9
haskell-skylighting-core 0.8.3.4-10
haskell-socks 0.6.1-23
haskell-split 0.2.3.4-21
haskell-splitmix 0.0.4-16
haskell-streaming-commons 0.2.1.2-17
haskell-syb 0.7.1-4
haskell-tagged 0.8.6-9
haskell-tagsoup 0.14.8-29
haskell-temporary 1.3-64
haskell-texmath 0.12.0.2-2
haskell-text-conversions 0.3.0-21
haskell-th-abstraction 0.3.2.0-3
haskell-time-compat 1.9.3-3
haskell-tls 1.5.4-9
haskell-transformers-compat 0.6.5-4
haskell-unicode-transforms 0.3.6-4
haskell-unordered-containers 0.2.10.0-37
haskell-utf8-string 1.0.1.1-16
haskell-uuid-types 1.0.3-25
haskell-vector 0.12.1.2-18
haskell-x509 1.7.5-56
haskell-x509-store 1.6.7-55
haskell-x509-system 1.6.6-123
haskell-x509-validation 1.6.11-55
haskell-xml 1.3.14-22
haskell-zip-archive 0.4.1-32
haskell-zlib 0.6.2.1-4
haveged 1.9.8-1
hdparm 9.58-3
hicolor-icon-theme 0.17-1
hplip 1:3.20.3-2
hspell 1.4-2
htop 2.2.0-3
http-parser 2.9.4-1
hunspell 1.7.0-2
hwids 20200306-1
hwinfo 21.70-1
hwloc 2.2.0-1
hyphen 2.8.8-2
iana-etc 20200401-1
icu 65.1-3
iftop 1.0pre4-3
ijs 0.35-2
illyria-wallpaper 1.4-1
imagemagick 7.0.10.8-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.6.1-1
inetutils 1.9.4-8
iniparser 4.1-1
intel-tbb 2020.2-1
intel-ucode 20191115-3
inxi 3.0.37-1
iproute2 5.6.0-1
iptables 1:1.8.4-1.1
iputils 20190709-2
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iso-codes 4.4-1
iw 5.4-1
jack 0.125.0-9
jansson 2.12-1
jasper 2.0.16-1
java-runtime-common 3-2
jbig2dec 0.18-1
jfsutils 1.1.15-7
jq 1.6-2
jre11-openjdk 11.0.6.u10-1
jre11-openjdk-headless 11.0.6.u10-1
js60 60.9.0-2
json-c 0.13.1-3
json-glib 1.4.4-1
jumpapp-git 1.1.r101.4071977-1
kaccounts-integration 20.04.0-1
kaccounts-providers 20.04.0-1
kactivities 5.69.0-1
kactivities-stats 5.69.0-1
kactivitymanagerd 5.18.4.1-1
kamera 20.04.0-1
karchive 5.69.0-1
kate 20.04.0-1
kauth 5.69.0-1
kbd 2.2.0-5
kbookmarks 5.69.0-1
kcalc 20.04.0-1
kcmutils 5.69.0-1
kcodecs 5.69.0-1
kcompletion 5.69.0-1
kconfig 5.69.0-1
kconfigwidgets 5.69.0-1
kcoreaddons 5.69.0-1
kcrash 5.69.0-1
kdbusaddons 5.69.0-1
kde-cli-tools 5.18.4.1-1
kde-gtk-config 5.18.4.1-1
kde-servicemenus-rootactions 2.9.1-1
kdeclarative 5.69.0-1
kdeconnect 20.04.0-1
kdecoration 5.18.4.1-1
kded 5.69.0-1
kdegraphics-thumbnailers 20.04.0-1
kdelibs4support 5.69.0-1
kdenetwork-filesharing 20.04.0-1
kdeplasma-addons 5.18.4.1-1
kdesu 5.69.0-1
kdialog 20.04.0-1
